year,month,CPI,temperature,all sectors,commercial,industrial,date,month_sin,month_cos
2004,4,0.09721981475480268,0.4888605983450032,0.0706940503795026,0.22989492919141166,0.5252317649116667,2004-04-01,0.9330127018922194,0.2500000000000001
2004,5,0.1055098764780802,0.6849140674729473,0.18724525801852127,0.3641480127912289,0.6834878432744445,2004-05-01,0.75,0.06698729810778065
2004,6,0.1100317283271408,0.8158285593040528,0.3941785606267911,0.4965006852444038,0.6722931607486444,2004-06-01,0.5000000000000001,0.0
2004,7,0.10777080240261072,0.9178866963717379,0.5823815764838047,0.6312288716308818,0.7486881231415077,2004-07-01,0.2500000000000001,0.06698729810778059
2004,8,0.108524444377454,0.8597496286866115,0.5609220399521841,0.6121699406121515,0.7907119118418748,2004-08-01,0.06698729810778076,0.24999999999999975
2004,9,0.11153901227682783,0.7642690430723531,0.3998963029107199,0.5234170854271358,0.6411142207451457,2004-09-01,0.0,0.4999999999999999
2004,10,0.11907543202526205,0.5457245915552726,0.20669566344533566,0.39058931018730014,0.6116844498863037,2004-10-01,0.0669872981077807,0.75
2004,11,0.11982907400010555,0.3044769785699131,0.12334912793628396,0.2704796710826862,0.5611771908343535,2004-11-01,0.24999999999999975,0.9330127018922192
2004,12,0.11455358017620165,0.11500106089539575,0.3385709965002233,0.3842667884878941,0.5295172293160748,2004-12-01,0.4999999999999999,1.0
2005,1,0.11756814807557525,0.07956715467854869,0.4035905117163308,0.3638373686614893,0.475948924260976,2005-01-01,0.75,0.9330127018922194
2005,2,0.12585820979885298,0.1761086356885211,0.1906874252876876,0.22486980356327105,0.3313363652265173,2005-02-01,0.9330127018922192,0.75
2005,3,0.13716283942150453,0.2688308932739233,0.2430904613080236,0.3284239378711742,0.5171855868462479,2005-03-01,1.0,0.5
2005,4,0.14696018509446904,0.4801612561001487,0.08017801333659791,0.2464687071722249,0.4823771208675876,2005-04-01,0.9330127018922194,0.2500000000000001
2005,5,0.14545290114478227,0.6348398047952473,0.1473794881396453,0.3426404751027867,0.6338114395662058,2005-05-01,0.75,0.06698729810778065
2005,6,0.14620654311962555,0.8395926161680458,0.4777771376722886,0.6057560529922341,0.7291848871785902,2005-06-01,0.5000000000000001,0.0
2005,7,0.15298932089321648,0.969021854445152,0.7379776187115639,0.7507720420283235,0.7446213048801815,2005-07-01,0.2500000000000001,0.06698729810778059
